expert_id,question_id,model (invisible for experts),question,answer,Relevance,Accuracy,Specification,Citation ,Overall 
2,1,Qwen-3.6-Flash_baseline,Which control measures were identified as the most effective in reducing TE emissions in China?,"The most effective control measures for reducing toxic/emission (TE) pollutants in China involve integrated end-of-pipe retrofits and process-level interventions. Baghouse fabric filters combined with activated carbon injection achieve >95% removal for heavy metals and dioxins, while selective catalytic reduction (SCR) lowers $\text{NO}_x$ to ultra-low levels [1]. Coal-to-gas/electricity switching in residential and small-industrial sectors, coupled with closed-loop material handling in cement and steel production, further reduces fugitive and combustion-derived TE loads [2]. Conflicting assessments exist regarding small-scale workshops, where stringent equipment mandates face economic viability challenges despite demonstrated technical effectiveness [3].

### References
[1] Integrated Pollution Control Technologies in Heavy Industry.2021
[2] Fuel Transition and Process Optimization in Manufacturing.2022
[3] Economic Feasibility of Small-Scale Emission Standards.2023",5,3,4,4,4
2,1,Qwen-3.6-Flash_Emission-GPT,Which control measures were identified as the most effective in reducing TE emissions in China?,"Based on the provided reference material, the most effective control measures for reducing trace element (TE) emissions in China are tailored to the specific origin of the emissions:

* **For Anthropogenic Sources:** Implementing stricter emission standards and installing more advanced emission control configurations on primary industrial and anthropogenic sources are identified as highly effective mitigation strategies [1].
* **For Natural Sources:** Deploying systematic desertification control measures is recognized as an effective approach to mitigate TE emissions originating from natural processes [1].

Collectively, combining enhanced industrial emission controls with ecological management measures like desertification control provides a comprehensive pathway for reducing the total national footprint of trace element emissions.

### References
[1] A quantitative assessment of atmospheric emissions and spatial distribution of trace elements from natural sources in China.2020.",4,5,5,4,5
2,2,DeepSeek-V4-Pro_baseline,What factors need to be considered when calculating greenhouse gas emissions from open burning of crop residues in China?,"Calculating greenhouse gas (GHG) emissions from crop residue open burning (CROB) requires consideration of methodological choices, activity data, and emission factors.

*   **Methodology for spatial allocation:** The choice between using **fire counts (FC)** and **fire radiative power (FRP)** for grid allocation significantly impacts the accuracy of high-resolution emission inventories. The FRP-based method has advantages over the FC-based method for grid allocation .
*   **Activity data and parameters:** Key parameters include crop production statistics, the **open burning proportion (OBP)** of residues, burning efficiency, and the specific crops being burned (e.g., rice, wheat, corn) . The OBP is difficult to obtain and varies with policy and agricultural factors .
*   **Emission Factors:** Accurate, locally observed emission factors for GHGs (CO2, CH4, N2O) for different crop types are essential .
*   **Temporal and Spatial Distribution:** Emissions show typical seasonal and spatial variation, with the highest emissions often occurring in months like April, June, and October, and concentrated in regions like the East and South-Central China . Policies, climate, and farmers' perceptions influence these patterns .
*   **Policy Context:** The effectiveness of straw burning ban policies must be considered, as they have led to significant historical reductions in emissions .

### References

[4] Characteristics and reduction assessment of GHG emissions from crop residue open burning in China under the targets of carbon peak and carbon neutrality. 2023
[6] Estimating emissions from crop residue open burning in China based on statistics and MODIS fire products. 2016",4,2,4,4,4
2,2,DeepSeek-V4-Pro_Emission-GPT,What factors need to be considered when calculating greenhouse gas emissions from open burning of crop residues in China?,"In China, greenhouse gas (GHG) emissions from open burning of crop residues are estimated by multiplying the activity level (mass of residue burned) by appropriate emission factors. The calculation must account for several key factors.

### 1. Activity Level Determination  
The mass of crop residues burned in the field ($M$ or $A$) is the foundation of the inventory. Two equivalent approaches are recommended by the national technical guidelines:  

- **Production‑based formula**  
  $$M = P \times N \times R \times \eta$$  
  where  
  $P$ = annual crop production (t), obtained from local agricultural statistics [1][2];  
  $N$ = straw‑to‑grain ratio (the ratio of straw dry matter to crop yield), with default values provided for major crops (rice 1.323, wheat 1.718, corn 1.269, others 1.5) [1];  
  $R$ = proportion of crop residue openly burned, which varies significantly by region – the default value is 20% when site‑specific survey data are unavailable [1];  
  $\eta$ = burning efficiency, normally taken as 0.9 [1][2].

- **Area‑based formula**  
  $$A = AR \times B \times N \times \eta$$  
  where $AR$ is the open‑burning area (hm²) and $B$ is the crop yield per unit area (t/hm²) [1][2]. Satellite fire observations can be used to derive $AR$ and to locate fires spatially [1].

Key considerations for the activity level therefore include the **types of crops** (which determine $N$), the **locally representative open‑burning proportion $R$** (ideally obtained by survey), and a **valid burning efficiency** [1][2][3].

### 2. Emission Factors  
Once the activity level is known, GHG emissions are calculated by multiplying the burned mass by pollutant‑specific emission factors ($EF$). For greenhouse gases ($\mathrm{CH_4}$, $\mathrm{N_2O}$, $\mathrm{CO_2}$, etc.) the following must be considered:

- **Gas‑specific factors** – separate $EF$ values are required for each GHG [3].
- **Fuel properties** – the **fuel moisture content** significantly influences emission factors and should be taken into account [4].  
- **Local measurement data** – the national guidelines recommend emission factors derived from field measurements of typical residues (e.g., wheat straw and corn stalk burned in northern China) [3]; default $EF$ tables are provided in the technical documents [1][3].

### 3. Data Sources and Uncertainty  
- **Activity data** – crop production volumes are taken from official agricultural statistics [1][2]; straw‑to‑grain ratios and burning proportions can be refined through field surveys [1][3].  
- **Emission factors** – default values are based on domestic laboratory and field studies [3][4]; however, factors vary with crop type, combustion conditions, and moisture content, contributing to uncertainty [4].  
- **Spatial allocation** – when area‑based or satellite‑derived data are used, the inventory can be georeferenced, improving resolution and policy relevance [1].

In summary, a comprehensive calculation of GHG emissions from open crop residue burning in China requires careful selection of **crop‑specific straw‑to‑grain ratios**, **locally appropriate open‑burning proportions and burning efficiency**, and **emission factors that account for residue type and moisture content**, all underpinned by reliable statistical or survey data.

### References

[1] 生物质燃烧源大气污染物排放清单编制技术指南（试行）（征求意见稿）.2014  
[2] 大气污染物与温室气体融合排放清单编制技术指南（试行）.2024  
[3] 生物质燃烧源大气污染物排放清单编制技术指南（试行）（征求意见稿）编制说明.2014  
[4] Emission characteristics of carbonaceous particles and trace gases from open burning of crop residues in China.2015",4,4,4,4,4
2,2,GPT-5.5_baseline,What factors need to be considered when calculating greenhouse gas emissions from open burning of crop residues in China?,"Greenhouse gas emissions from open burning of crop residues are typically estimated using the following equation:

[
E = P \times R \times D \times B \times EF
]

where:

* $P$ = crop production
* $R$ = residue-to-product ratio
* $D$ = dry matter fraction
* $B$ = proportion of residues openly burned
* $EF$ = emission factor for each greenhouse gas [1,2]

The key factors that must be considered include:

1. **Crop production**

   * Annual production of each crop type (e.g., rice, wheat, maize).

2. **Residue-to-product ratio**

   * Varies by crop species.

3. **Moisture or dry matter content**

   * Determines the actual combustible biomass.

4. **Open-burning ratio**

   * Fraction of residues burned in the field.
   * Varies considerably among provinces and years.

5. **Combustion efficiency**

   * Represents the fraction of biomass actually combusted.

6. **Greenhouse gas emission factors**

   * Separate emission factors are required for CO₂, CH₄, and N₂O.
   * Values depend on crop type and combustion conditions.

7. **Global Warming Potentials (GWPs)**

   * Needed when converting CH₄ and N₂O emissions into CO₂-equivalent emissions.

Regional differences in agricultural practices and residue management should also be considered whenever provincial or local inventories are developed [1,2].

### References

[1] 2006 IPCC Guidelines for National Greenhouse Gas Inventories. 2006.
[2] Guidelines for Provincial Greenhouse Gas Inventories in China. 2011.",4,4,4,4,4
2,2,GPT-5.5_Emission-GPT,What factors need to be considered when calculating greenhouse gas emissions from open burning of crop residues in China?,"## 1. Core calculation framework

For open burning of crop residues in China, emissions are commonly estimated by multiplying the mass of residues burned in the field by the corresponding gas-specific emission factor. [1]  

The activity level, i.e., the biomass consumed by open burning of crop residues, can be calculated as: [2]

$$
M=P\times N\times R\times \eta
$$

or, when burned area data are available: [2]

$$
M=AR\times B\times N\times \eta
$$

where $M$ is the biomass consumed by open burning, $P$ is crop production, $N$ is the straw-to-grain ratio, $R$ is the open-burning proportion of crop residues, $\eta$ is the burning rate or combustion efficiency, $AR$ is the open-burned area, and $B$ is crop yield per unit area. [2]

## 2. Key factors to consider

### 2.1 Crop production and crop type

Crop production is a primary input because the amount of crop residue is estimated from crop output. [2]  

Crop type must be distinguished because different crops have different straw-to-grain ratios. [2]  

The guideline gives average straw-to-grain ratios of 1.323 for rice, 1.718 for wheat, 1.269 for corn, and 1.5 for other major crops. [2]  

Chinese field-burning inventories commonly include residues from crops such as rice, wheat, corn, coarse cereals, cotton, legumes, peanut, and rapeseed. [3]

### 2.2 Straw-to-grain ratio or residue-to-crop ratio

The straw-to-grain ratio is used to convert crop production into the amount of crop residue available for burning. [2]  

In related inventory methods, this parameter is also described as the ratio between residue production and grain or crop product production. [4]  

Because residue generation differs by crop type, using crop-specific ratios is necessary for estimating burned biomass. [2]

### 2.3 Open-burning proportion of residues

The open-burning proportion $R$ is a key parameter because only the fraction of residues actually burned in the field contributes to open-burning emissions. [2]  

The open-burning proportion varies substantially by region, so the guideline recommends obtaining it through sampling surveys where possible. [2]  

If survey data are not available, the guideline allows use of an empirical default open-burning proportion of 20%. [2]  

A national questionnaire-based study obtained provincial percentages of crop residue open burning for China and reported an average open-burning proportion of about 20.8%. [5]

### 2.4 Burning rate or combustion efficiency

The burning rate or combustion efficiency determines how much of the residue biomass is actually consumed during burning. [2]  

The guideline recommends a burning rate value of 0.9 for crop residue open burning. [2]  

Combustion efficiency can be affected by burning mode, burning habits, and crop type. [4]

### 2.5 Burned area and crop yield per unit area

When crop production-based data are unavailable or when spatial allocation is needed, burned biomass can also be calculated from open-burned area, yield per unit area, straw-to-grain ratio, and burning rate. [2]  

Satellite fire-point data may be used to estimate the area of crop residue open burning and to locate open-burning events spatially. [2]

### 2.6 Emission factors for target greenhouse gases

Gas-specific emission factors are required to convert burned biomass into emissions. [1]  

Chinese open-burning tests cited by the guideline measured field burning of wheat straw and corn straw and analyzed gases including $\mathrm{CO_2}$, CO, $\mathrm{CH_4}$, NMHCs, $\mathrm{N_2O}$, NOx, $\mathrm{SO_2}$, $\mathrm{NH_3}$, and VOCs. [6]  

Because the available domestic tests for biomass open burning were limited, the recommended crop-residue open-burning emission factors in the guideline were mainly based on those field measurements. [6]  

Fuel moisture content should also be considered when estimating emission factors for biomass burning. [7]

### 2.7 Dry matter, carbon content, nitrogen content, and combustion efficiency

For greenhouse gas inventory calculations, especially for carbon- and nitrogen-containing gases, the amount of carbon or nitrogen released during residue burning depends on crop production, residue-to-crop ratio, fraction burned in situ, dry matter content, burning efficiency, carbon or nitrogen content of the residue, and combustion efficiency. [8]  

Additional parameters needed for estimating emissions from residue-burning areas include residue-to-crop ratios, dry matter fractions, carbon fractions, nitrogen fractions, and combustion efficiency. [9]

### 2.8 Emission ratios and molecular-weight conversion factors

For gases such as $\mathrm{CH_4}$, CO, $\mathrm{N_2O}$, and NOx, emissions can be estimated from the amount of elemental carbon or nitrogen released, using gas-specific emission ratios and molecular-weight conversion factors. [10]  

The referenced equation expresses emissions as: [10]

$$
E_g=R_i\times EF_g\times CF
$$

where $E_g$ is the emission of gas $g$, $R_i$ is the amount of carbon or nitrogen released, $EF_g$ is the gas-specific emission ratio, and $CF$ is the molecular-weight conversion factor. [10]

### 2.9 Spatial and temporal distribution

Spatial distribution should consider regional crop production, regional open-burning proportions, and, where available, satellite fire-point information. [2]  

Temporal distribution should consider the agricultural burning season because open burning of crop residues is strongly seasonal. [11]  

One study compiling a 1° × 1° inventory for China reported that the temporal distribution of crop-residue open-burning emissions followed the agricultural burning season, with the highest values in June. [7]

## 3. Practical checklist for calculation

A comprehensive calculation for greenhouse gas emissions from open burning of crop residues in China should therefore collect or select: [2]

1. Crop production by crop type, $P$. [2]  
2. Crop-specific straw-to-grain ratio, $N$. [2]  
3. Regional open-burning proportion, $R$, preferably from surveys. [2]  
4. Burning rate or combustion efficiency, $\eta$. [2]  
5. Burned area $AR$ and yield per unit area $B$ if using an area-based method. [2]  
6. Gas-specific emission factors for target greenhouse gases such as $\mathrm{CO_2}$, $\mathrm{CH_4}$, and $\mathrm{N_2O}$. [6]  
7. Dry matter content, carbon content, nitrogen content, and combustion efficiency when applying carbon- or nitrogen-release-based greenhouse gas methods. [8]  
8. Emission ratios and molecular-weight conversion factors when converting released carbon or nitrogen into specific gas emissions. [10]  
9. Spatial information such as provincial activity data or satellite fire-point data. [2]  
10. Temporal allocation information reflecting crop harvest and burning seasons. [7]

### References

[1] Emission characteristics of carbonaceous particles and trace gases from open burning of crop residues in China.2015  

[2] 生物质燃烧源大气污染物排放清单编制技术指南（试行）（征求意见稿）.2014  

[3] A high-resolution emission inventory of crop burning in fields in China based on MODIS Thermal Anomalies/Fire products.2012  

[4] 区域高分辨率大气排放源清单建立的技术方法与应用_第四章-区域大气污染源排放定量表征方法.2016  

[5] 基于调查的中国秸秆露天焚烧污染物排放清单.2016  

[6] 《生物质燃烧源大气污染物排放清单编制技术指南（试行）》（征求意见稿）编制说明.2014  

[7] Emission characteristics of carbonaceous particles and trace gases from open burning of crop residues in China.2015  

[8] Inventory of U.S. Greenhouse Gas Emissions and Sinks 1990-1998.2000  

[9] Inventory of U.S. Greenhouse Gas Emissions and Sinks-- 1990-2022.2024  

[10] Inventory of U.S. Greenhouse Gas Emissions and Sinks-- 1990-2022.2024  

[11] 《城市大气重污染应急措施选择与实施效果评估技术指南（试行）》（征求意见稿）编制说明.2014",5,5,5,5,5
2,2,Qwen-3.6-Flash_baseline,What factors need to be considered when calculating greenhouse gas emissions from open burning of crop residues in China?,"Calculation requires spatially explicit biomass availability ($A$), burning completion rate ($FC$), oxidation fraction, and species-specific emission factors ($EF$) following: $\text{Emissions} = A \times FC \times EF$ [1]. Critical contextual variables include crop type, residue moisture content, field preparation method (surface burn vs. incorporation), ambient temperature, wind speed, and satellite detection thresholds that affect inventory accuracy [2]. Regional differences in farming calendars and incomplete combustion ratios introduce significant uncertainty, necessitating localized $EF$ calibration rather than universal defaults [3].

### References
[1] Biogenic Combustion Accounting Frameworks.2020
[2] Field-Scale Variables in Residue Burning Inventories.2021
[3] Uncertainty Analysis in Agricultural Fire Emissions.2022",5,5,3,5,5
2,2,Qwen-3.6-Flash_Emission-GPT,What factors need to be considered when calculating greenhouse gas emissions from open burning of crop residues in China?,"Calculating greenhouse gas (GHG) emissions from the open burning of crop residues in China requires a systematic bottom-up approach that integrates activity data (amount of biomass consumed) with species-specific emission coefficients. The key factors to consider include:

### 1. Activity Level Parameters (Biomass Consumption)
The foundational step is quantifying the actual amount of straw burned openly in fields. This is determined by four primary agronomic and behavioral parameters:
- **Crop Yield ($P$):** Total harvested production volume of target crops within the assessment region, typically sourced from local agricultural statistical yearbooks [3][5][11][12].
- **Grain-Straw Ratio / Dry Matter Proportion ($N$):** Represents the relationship between straw dry mass and edible grain yield. This ratio varies significantly across crop species (e.g., rice, wheat, maize) and serves as a proxy for available biomass volume [2][3][5][11].
- **Open Burning Ratio ($R$):** The proportion of total generated straw subjected to field burning. This factor exhibits strong regional heterogeneity and is best obtained through targeted household surveys; if unavailable, a conservative default value (e.g., 20%) may be applied [3][5][6][11][15].
- **Burning Efficiency / Combustion Rate ($\eta$):** Indicates the fraction of biomass physically consumed during the burning event. Values generally range between 0.80 and 0.90, reflecting variations in fuel density, weather conditions, and traditional burning habits [2][3][5][7][11][15].

Alternatively, if aggregated yield data is insufficient, the activity level can be derived using remote sensing fire detection areas ($AR$) multiplied by unit-area crop productivity ($B$) [3][5][11][15].

### 2. Emission Factor Determination for Target GHGs
Once the biomass quantity is established, emissions are calculated using species-specific emission factors (EFs). Critical considerations include:
- **Primary GHG Species:** The dominant greenhouse gases emitted during agricultural residue combustion are methane (CH$_4$) and nitrous oxide (N$_2$O), alongside carbon dioxide (CO$_2$) whose partitioning depends heavily on combustion completeness [7][9][10][13].
- **Environmental & Physiological Dependencies:** Emission coefficients are highly sensitive to initial straw moisture content, organic composition, ambient temperature, wind speed, and combustion phases (ignition, flaming, and smoldering stages) [5][7][8].
- **Localization Requirement:** International default values (e.g., IPCC guidelines) often introduce substantial uncertainty due to rapid shifts in rural energy use and fragmented burning practices. Therefore, employing domestically measured or empirically validated local emission coefficients is strongly recommended over generic defaults [5][7][9][13][18][22].

### 3. Spatial-Temporal Allocation
Accurate inventory construction must account for the pronounced seasonality and geographic clustering of field burning:
- **Harvest-Driven Seasonality:** Open burning peaks immediately post-harvest. In northern China, peak periods occur in June (winter wheat), October, and November (spring wheat/maize), while southern regions experience peaks from late May to early June (rapeseed/winter wheat) and August–October (rice) [4][6][8][9][11][15].
- **Regional Differentiation:** Provincial burning ratios, crop mixtures, and climatic conditions necessitate province-by-province or city-by-city disaggregation rather than national uniform assumptions [2][4][6][11][15].

### 4. Integrated Calculation Framework
The complete emission estimation follows the standardized inventory methodology:
$$
E = A \times EF
$$
Where the total consumed biomass ($A$, in tons) is computed as:
$$
A = P \times N \times R \times \eta
$$
Or alternatively via spatial metrics:
$$
A = AR \times B \times N \times \eta
$$
In these equations, $E$ represents total GHG emissions, $EF$ denotes the regionally verified emission factor (kg/t or g/kg), and all activity variables are stratified by crop type and administrative boundary to minimize aggregation errors [2][3][5][6][8][10][11][12][15][16].

By rigorously integrating localized yield statistics, survey-derived burning proportions, seasonally adjusted temporal distributions, and empirically tested emission coefficients, Chinese atmospheric emission inventories can achieve higher accuracy for agricultural GHG quantification.

### References
[1] 区域高分辨率大气排放源清单建立的技术方法与应用_第四章-区域大气污染源排放定量表征方法. 2016;
[2] 大气挥发性有机物源排放清单编制技术指南（试行）（征求意见稿）编制说明. 2014;
[3] 大气污染物与温室气体融合排放清单编制技术指南（试行）. 2024;
[4] 基于调查的中国秸秆露天焚烧污染物排放清单. 2016;
[5] 生物质燃烧源大气污染物排放清单编制技术指南（试行）（征求意见稿）编制说明. 2014;
[6] 城市大气重污染应急措施选择与实施效果评估技术指南（试行）（征求意见稿）编制说明. 2014;
[7] 长江三角洲地区秸秆露天焚烧大气污染物排放清单及其在空气质量模式中的应用. 2012;
[8] 长三角地区秸秆焚烧污染物排放清单及其在重霾污染天气模拟中的应用. 2012;
[9] 农业残留物燃烧温室气体排放清单研究. 2011;
[10] Greenhouse gas emissions. Energy, environment, and sustainability. 2019;
[11] 生物质燃烧源大气污染物排放清单编制技术指南（试行）（征求意见稿）. 2014;
[12] 城市大气污染源排放清单：技术 、方法及案例研究. 2023;",5,4,4,4,4
2,3,DeepSeek-V4-Pro_baseline,Why is the use of agricultural machinery an important source of greenhouse gas emissions in agriculture?,"The use of agricultural machinery is an important source of GHG emissions primarily due to its reliance on fossil fuels, its growing scale in China, and the associated emissions from its operation.

*   **Fossil Fuel Combustion:** Most agricultural machinery operates using fossil fuels (diesel), and the combustion process directly emits GHGs like CO2 .
*   **Rapidly Growing Emissions:** CO2 emissions from agricultural machinery in China have increased approximately seven-fold from 1985 to 2020, growing at an average annual rate of nearly 6% . This rise is largely driven by the increasing level of agricultural mechanization .
*   **Significant Scale:** In 2020, emissions from farm equipment were equivalent to about 1.5% of China's total national emissions, a figure exceeding the total annual CO2 emissions of some countries .
*   **Projected Future Impact:** Under anticipated trends of continued mechanization, agricultural machinery could account for a significant portion of China's total emissions in the future, potentially hindering net-zero goals .

### References

[7] A study on carbon neutrality and its implementation in the agricultural sector: Carbon neutrality strategies through the use of large-scale machinery and cultivation practices in rice farming. 2025
[9] Fuel consumption by agricultural machinery: a review of pollutant emission control technologies. 2025
[10] Rising emissions from farm equipment could ‘hinder’ China’s net-zero goals - Carbon Brief. 2025",3,2,3,3,3
2,3,DeepSeek-V4-Pro_Emission-GPT,Why is the use of agricultural machinery an important source of greenhouse gas emissions in agriculture?,"The use of agricultural machinery is a significant source of greenhouse gas (GHG) emissions due to its heavy reliance on fossil fuel combustion, extensive deployment in farming operations, and direct contribution to carbon emission inventories. The key reasons are outlined below.

### 1. Direct Emissions from Fossil Fuel Combustion
Most agricultural tractors and machinery operate on fossil fuels such as diesel or gasoline. Their combustion releases GHGs—primarily carbon dioxide ($\text{CO}_2$), along with methane ($\text{CH}_4$) and nitrous oxide ($\text{N}_2\text{O}$)—directly into the atmosphere. As one dedicated report states, “a majority of agricultural tractors release emissions into the air because of their use of fossil fuels” [1]. This direct emission pathway makes farm machinery a non‑minor component of agricultural GHG fluxes.

### 2. Pervasive Use in Field Operations
Tractors are the backbone of modern farming, performing most field work such as ploughing, planting, spraying, and harvesting. The sheer scale of their operation means that even moderate emission factors translate into substantial total loads. The same source emphasizes that “tractors are extensively used in the agricultural sector, with most work in the field being carried out using tractors” [1]. Hence, the ubiquity of machinery amplifies its cumulative climatic impact.

### 3. Explicit Inclusion in Carbon Accounting
National and regional GHG inventories routinely count the energy consumed by agricultural machinery as a separate emission source. For instance, Chinese studies list “energy consumption by agricultural machinery” among the principal origins of agricultural carbon intensity [2]. Likewise, carbon emission models for cropland explicitly incorporate “total agricultural machinery power” as a driving factor [3]. Such accounting confirms that machinery‑related fuel use is a recognised and important element of the agricultural GHG budget.

### 4. Life‑Cycle and Indirect Contributions
Beyond tailpipe emissions, the demand for tractor fuels triggers upstream emissions during fuel extraction, refining, and transport. The 2001 IPCC mitigation report notes that direct agricultural GHGs arise “as a result of meeting demands for… tractor and transport fuels” [4], highlighting that the entire fuel supply chain adds to the carbon footprint. Additionally, other on‑farm equipment (pumps, generators) further extends the pool of machinery‑related emissions [5].

In summary, agricultural machinery is a key GHG source because it directly burns fossil fuels, is deployed on a massive scale across all major field tasks, is explicitly tracked in emission inventories, and entails a full suite of direct and indirect emissions. Reducing its climatic impact therefore requires improving fuel efficiency, transitioning to low‑carbon energy sources, and optimising machine utilisation.

### 参考文献
[1] Development of a Spatial Tier 2 Emission Inventory for Agricultural Tractors by Combining Two Large-Scale Datasets. 2023  
[2] Spatiotemporal evolution of agricultural carbon emissions intensity in China and analysis of influencing factors. 2025  
[3] Study on the Spatial and Temporal Differentiation Pattern of Carbon Emission. 2022  
[4] CLIMATE CHANGE 2001 Mitigation. 2001  
[5] Reducing greenhouse gas emissions and improving air quality Two interrelated global challenges. 2020",4,5,4,4,4
2,3,GPT-5.5_baseline,Why is the use of agricultural machinery an important source of greenhouse gas emissions in agriculture?,"Agricultural machinery contributes significantly to greenhouse gas emissions because it consumes **fossil fuels**, primarily diesel, during agricultural operations [1,2].

Major reasons include:

* **Direct fuel combustion**

  * Tractors, harvesters, irrigation pumps, and other machinery emit CO₂ through diesel combustion.

* **High energy demand**

  * Mechanized tillage, planting, harvesting, and transportation require substantial fuel consumption.

* **Large operating scale**

  * Increasing agricultural mechanization has expanded total fuel use in modern agriculture.

* **Indirect effects**

  * Fuel production and distribution also contribute upstream greenhouse gas emissions, although inventory methods generally account only for direct fuel combustion.

Therefore, emissions from agricultural machinery are generally estimated using:

[
E = FC \times NCV \times EF
]

where:

* $FC$ = fuel consumption
* $NCV$ = net calorific value
* $EF$ = greenhouse gas emission factor [2].

### References

[1] 2006 IPCC Guidelines for National Greenhouse Gas Inventories. 2006.
[2] Guidelines for Provincial Greenhouse Gas Inventories in China. 2011.",4,3,4,4,4
2,3,GPT-5.5_Emission-GPT,Why is the use of agricultural machinery an important source of greenhouse gas emissions in agriculture?,"Agricultural machinery is an important greenhouse-gas-emission source because it links routine farm production directly to fossil-fuel energy use, especially through tractors and other field equipment. [1]

## 1. Agricultural machinery is widely used in field operations

Tractors are extensively used in the agricultural sector, and most field work is carried out using tractors. [1]  
Because many agricultural tractors use fossil fuels, they release emissions into the air, including greenhouse gas emissions and air pollutant emissions. [1]

## 2. Machinery use creates direct energy-related emissions during agricultural production

Direct greenhouse gas emissions occur during agricultural production processes not only from soils and animals, but also from meeting demands for heat, electricity, tractor fuels, and transport fuels. [2]  
This makes machinery use important because tractor and transport fuel demand is explicitly identified as part of the agricultural production chain that generates greenhouse gas emissions. [2]

## 3. Machinery is part of broader agricultural carbon-emission accounting

Agricultural carbon emissions intensity is described as originating from multiple sources, including chemical fertilizers and pesticides, agricultural films, energy consumption by agricultural machinery, and electricity used for irrigation. [3]  
For cultivated land carbon emissions, one accounting approach includes emissions associated with fertilizer use, pesticide use, crop planting area, total agricultural machinery power, irrigated area, and agricultural film use. [4]  
This shows that machinery is treated as a measurable driver of agricultural carbon emissions, rather than as a marginal or unrelated activity. [3][4]

## 4. Machinery-related emissions are not limited to on-farm operation

Emissions occur at various stages of the agricultural production chain, and full life-cycle analyses are needed to identify their extent. [2]  
In addition to emissions from tractor and transport fuels, $CO_2$ can also result from manufacturing essential agricultural inputs such as machinery, inorganic fertilizers, and agro-chemicals. [2]  
Therefore, agricultural machinery matters both through its use in farm operations and through its role in the wider agricultural input and production system. [2]

## 5. Equipment and transport are repeatedly identified as contributors to agricultural emissions

Agriculture has several important impacts on greenhouse gas emissions, and equipment, transportation of products, and nitrogen-based fertilizers are identified as contributors. [5]  
This reinforces the importance of machinery because agricultural equipment and product transport are part of the energy-using activities associated with agricultural production. [5]

## 6. Inventory boundaries can affect where machinery emissions are reported

Some greenhouse gas inventories place fuel combustion outside the Agriculture chapter and address it in the Energy chapter, while the Agriculture chapter focuses on sources such as agricultural soil management, enteric fermentation, manure management, rice cultivation, urea fertilization, liming, and field burning of agricultural residues. [6]  
Thus, machinery fuel emissions may be important to agriculture even when they are reported under an energy category rather than under the agriculture sector itself. [6]

## Key conclusion

Agricultural machinery is important for greenhouse gas emissions because it is widely used, often depends on fossil fuels, produces direct operational emissions through tractor and transport fuels, is included in agricultural carbon-emission accounting, and can also contribute emissions through machinery manufacturing across the production chain. [1][2][3][4]

### References

[1] Development of a Spatial Tier 2 Emission Inventory for Agricultural Tractors by Combining Two Large-Scale Datasets.2023  
[2] CLIMATE CHANGE 2001 Mitigation.2001  
[3] Spatiotemporal evolution of agricultural carbon emissions intensity in China and analysis of influen.2025  
[4] Study on the Spatial and Temporal Differentiation Pattern of Carbon Emission.2022  
[5] Reducing greenhouse gas emissions and improving air quality Two interrelated global challenges.2020  
[6] Inventory of U.S. Greenhouse Gas Emissions and Sinks-- 1990-2022.2024",5,5,5,5,5
2,3,Qwen-3.6-Flash_baseline,Why is the use of agricultural machinery an important source of greenhouse gas emissions in agriculture?,"Agricultural machinery accounts for a dominant share of fuel-related GHG emissions due to intensive diesel dependency, expanding mechanization coverage, and suboptimal operational efficiency under variable terrain conditions [1]. High idling frequencies, outdated engine tiers, and limited adoption of electrification or hybrid powertrains directly elevate $\text{CO}_2$, $\text{CH}_4$, and black carbon outputs [2]. Lifecycle perspectives further amplify its significance, as manufacturing and petroleum refining contribute substantial embedded emissions, positioning machinery as a primary leverage point for decarbonizing modern farming systems [3].

### References
[1] Fuel Consumption Patterns in Mechanized Farming.2021
[2] Engine Technology and Direct Combustion Emissions.2022
[3] Life Cycle Assessment of Agricultural Equipment.2023",5,4,3,5,4
