model,type,challenge_type,AnswerRelevancy,AnswerRelevancy_CI,AnswerSimilarity,AnswerSimilarity_CI,Faithfulness,Faithfulness_CI,ContextRelevance,ContextRelevance_CI,ContextPrecision,ContextPrecision_CI,ContextRecall,ContextRecall_CI,Hallucination,Hallucination_CI,,
DeepSeek-V4-Pro,baseline,Incomplete Parameters / Metadata,0.6699,0.0588,0.7694,0.0285,0.131,0.1619,,,,,,,0.1429,0.2288,,
DeepSeek-V4-Pro,baseline,Region/Technology-Specific Constraints,0.7383,0.0328,0.8587,0.0323,0.1497,0.2211,,,,,,,0.1429,0.3496,,
DeepSeek-V4-Pro,baseline,Regulatory Ambiguities,0.5,0.0672,0.7574,0.037,0.259,0.2366,,,,,,,0.3333,0.4284,,
DeepSeek-V4-Pro,rag,Conflicting Standards,0.7591,0.2651,0.8407,0.1666,0.2544,0.0627,0.4714,0.1748,1,0,0.987,0.0318,0.1429,0.3496,,
DeepSeek-V4-Pro,rag,Cross-domain Integration,0.736,0.0838,0.8163,0.0332,0.2796,0.1275,0.7333,0.3177,0.9861,0.0357,0.9667,0.0857,0.1557,0.1271,,
DeepSeek-V4-Pro,rag,Edge Cases,0.7287,0.2727,0.8329,0.1633,0.2469,0.0944,0.8286,0.2898,1,0,0.9365,0.1165,0.4002,0.4513,,
DeepSeek-V4-Pro,rag,Incomplete Parameters / Metadata,0.6842,0.2787,0.8216,0.1471,0.3211,0.0827,0.8286,0.1748,1,0,0.9837,0.0263,0.3680,0.3496,,
DeepSeek-V4-Pro,rag,Region/Technology-Specific Constraints,0.7413,0.0493,0.8306,0.0123,0.3141,0.1013,0.8643,0.2809,0.9712,0.0473,1,0,0.1429,0.3496,,
DeepSeek-V4-Pro,rag,Regulatory Ambiguities,0.7184,0.4119,0.8361,0.1845,0.4723,0.3504,0.65,0.2347,1,0,1,0,0.1667,0.5419,,
Qwen-3.6-Flash,baseline,Conflicting Standards,0.1797,0.1037,0.5342,0.0357,0.0618,0.1116,,,,,,,0.7143,0.0354,,
Qwen-3.6-Flash,baseline,Cross-domain Integration,0.755,0.08,0.8481,0.0578,0.2074,0.1255,,,,,,,0.4458,0.4284,,
Qwen-3.6-Flash,baseline,Edge Cases,0.5368,0.0477,0.8177,0.0414,0.2857,0.0847,,,,,,,0.0821,0.2630,,
Qwen-3.6-Flash,baseline,Incomplete Parameters / Metadata,0.6662,0.0598,0.8029,0.0157,0.1621,0.1913,,,,,,,0.7278,0.3759,,
Qwen-3.6-Flash,baseline,Region/Technology-Specific Constraints,0.7261,0.0739,0.8403,0.0289,0.2393,0.0684,,,,,,,0.3060,0.3496,,
Qwen-3.6-Flash,baseline,Regulatory Ambiguities,0.2573,0.073,0.5222,0.0364,0.1261,0.1937,,,,,,,0.6667,0.3888,,
Qwen-3.6-Flash,rag,Conflicting Standards,0.6808,0.2839,0.8241,0.2086,0.266,0.1002,0.6143,0.208,1,0,1,0,0.1828,0.4513,,
Qwen-3.6-Flash,rag,Cross-domain Integration,0.7098,0.056,0.7994,0.0276,0.2207,0.1576,1.0667,0.271,0.9444,0.1428,0.9548,0.085,0.1667,0.1108,,
Qwen-3.6-Flash,rag,Edge Cases,0.7019,0.3414,0.804,0.0273,0.1905,0.2271,0.9714,0.1748,0.9122,0.2149,0.9444,0.089,0.6468,0.2942,,
Qwen-3.6-Flash,rag,Incomplete Parameters / Metadata,0.6752,0.0532,0.8067,0.0216,0.2647,0.1003,0.7929,0.2622,1,0,0.989,0.0269,0.7167,0.2071,,
Qwen-3.6-Flash,rag,Region/Technology-Specific Constraints,0.7006,0.0737,0.7957,0.0285,0.2342,0.1474,1.0429,0.2256,0.9286,0.1748,0.9513,0.0879,0.1429,0.2252,,
Qwen-3.6-Flash,rag,Regulatory Ambiguities,0.7157,0.4184,0.8103,0.2005,0.2989,0.2139,0.4833,0.2142,1,0,0.9783,0.0559,0.5205,0.5419,,
GLM-5.1,baseline,Conflicting Standards,0.521,0.0518,0.7649,0.0242,0.3074,0.1766,,,,,,,0.7199,0.2147,,
GLM-5.1,baseline,Cross-domain Integration,0.8066,0.0231,0.8636,0.0529,0.2428,0.0905,,,,,,,0.8340,0.1993,,
GLM-5.1,baseline,Edge Cases,0.7299,0.0575,0.8256,0.0518,0.1395,0.0865,,,,,,,0.3655,0.1534,,
GLM-5.1,baseline,Incomplete Parameters / Metadata,0.605,0.0258,0.8131,0.0179,0.2536,0.1407,,,,,,,0.9119,0.1665,,
GLM-5.1,baseline,Region/Technology-Specific Constraints,0.7361,0.0515,0.8435,0.0251,0.2195,0.1546,,,,,,,0.5396,0.3001,,
GLM-5.1,baseline,Regulatory Ambiguities,0.3681,0.0498,0.765,0.0345,0.2326,0.2773,,,,,,,0.6713,0.1223,,
GLM-5.1,rag,Conflicting Standards,0.7119,0.3314,0.8494,0.1517,0.3498,0.3211,0.4714,0.1748,0.8252,0,0.987,0.0318,0.1429,0.3496,,
GLM-5.1,rag,Cross-domain Integration,0.7026,0.0662,0.8375,0.0276,0.3387,0.3058,0.775,0.3616,0.6384,0.1071,0.9167,0.2142,0.8302,0.3522,,
GLM-5.1,rag,Edge Cases,0.7392,0.0635,0.7938,0.0185,0.1766,0.135,0.7571,0.3496,0.6504,0,0.9484,0.0895,0.3855,0.1087,,
GLM-5.1,rag,Incomplete Parameters / Metadata,0.6844,0.2574,0.8084,0.0458,0.3858,0.125,0.8286,0.1748,0.8252,0,0.9378,0.0682,0.0274,0.3959,,
GLM-5.1,rag,Region/Technology-Specific Constraints,0.6969,0.0531,0.8157,0.0293,0.3011,0.1153,0.9,0.267,0.733,0.0499,0.9881,0.0291,0.1890,0.2230,,
GLM-5.1,rag,Regulatory Ambiguities,0.7125,0.4294,0.8321,0.2045,0.3709,0.198,0.6083,0.3487,0.6513,0,1,0,0.1667,0.4284,,
